path,   gender,  name,  more_names

###########################
# basic - attributes


## - Eyes

basic/m/3dglasses.png,    m,  3D Glasses
basic/f/3dglasses.png,   f,  3D Glasses
basic/m/bigshades.png,    m,  Big Shades
basic/f/bigshades.png,   f,  Big Shades
basic/m/classicshades.png,    m,  Classic Shades
basic/f/classicshades.png,   f,  Classic Shades
basic/m/eyemask.png,    m,  Eye Mask
basic/f/eyemask.png,   f,   Eye Mask
basic/m/eyepatch.png,    m, Eye Patch
basic/f/eyepatch.png,   f,  Eye Patch
basic/m/hornedrimglasses.png,    m, Horned Rim Glasses
basic/f/hornedrimglasses.png,   f,  Horned Rim Glasses
basic/m/nerdglasses.png,    m,   Nerd Glasses
basic/f/nerdglasses.png,   f,    Nerd Glasses
basic/m/regularshades.png,    m,     Regular Shades
basic/f/regularshades.png,   f,      Regular Shades
basic/m/smallshades.png,    m,       Small Shades
basic/f/smallshades.png,   f,        Small Shades
basic/m/vr.png,    m,              VR
basic/f/vr.png,   f,               VR
basic/f/weldinggoggles.png,   f,   Welding Goggles

more/m/heartshades.png,    m,         Heart Shades
more/f/heartshades.png,  f,           Heart Shades
more/m/skigoogles.png,    m,         Ski Googles
more/f/skigoogles.png,  f,           Ski Googles

more/m/lasereyes.png,    m,           Laser Eyes, Laser Eyes Red
more/m/lasereyesgold.png,    m,       Laser Eyes Gold

more/m/tears.png,    m,               Tears
more/f/tears.png,  f,                 Tears



## - Eyes (Makeup)

basic/f/blueeyeshadow.png,   f, Blue Eye Shadow    ## typo - add Eye/Eyes - why? why not??  Blue Eyes
basic/f/greeneyeshadow.png,   f,  Green Eye Shadow   ## fix typo - Eye/Eyes ??
basic/f/purpleeyeshadow.png,   f,  Purple Eye Shadow  ## todo/fix typo - Eye/Eyes

basic/m/clowneyesblue.png,    m,  Clown Eyes Blue
basic/f/clowneyesblue.png,   f,  Clown Eyes Blue
basic/m/clowneyesgreen.png,    m, Clown Eyes Green
basic/f/clowneyesgreen.png,   f,  Clown Eyes Green



## - Blemishes

basic/m/mole.png,    m,          Mole
basic/f/mole.png,   f,           Mole
basic/m/rosycheeks.png,    m,        Rosy Cheeks
basic/f/rosycheeks.png,   f,         Rosy Cheeks
basic/m/spots.png,    m,             Spots
basic/f/spots.png,   f,              Spots

## - Nose

basic/m/clownnose.png,    m,  Clown Nose,  Clown Nose Red
basic/f/clownnose.png,   f,   Clown Nose,  Clown Nose Red


